SPDRS&P500ETFTrust,Last:383.595,Change:6.93
"Date:March5,2021,9:44PMEST",Bid:383.93,Ask:383.97,Size:19*2,"Volume:152,039,624"
ExpirationDate,Calls,LastSale,Net,Bid,Ask,Volume,IV,Delta,Gamma,OpenInterest,Strike,Puts,LastSale,Net,Bid,Ask,Volume,IV,Delta,Gamma,OpenInterest
FriMar052021,SPY210305C00190000,196.2,0,193.3,194.06,0,33.2477,0.9926,0.0002,26,190.00,SPY210305P00190000,0.01,0.005,0,0.01,3,22.001,-0.0002,0,3179
FriMar052021,SPY210305C00195000,186.84,0,188.3,189.06,0,32.1013,0.9924,0.0002,6,195.00,SPY210305P00195000,0.01,0,0,0.01,0,22.001,-0.0003,0,4620
FriMar052021,SPY210305C00200000,176.12,-0.315,183.3,184.06,1,31.0825,0.992,0.0002,37,200.00,SPY210305P00200000,0.01,0.005,0,0.01,11,20.001,-0.0002,0,1156
FriMar052021,SPY210305C00205000,186.06,0,178.3,179.06,0,30.001,0.9917,0.0002,1,205.00,SPY210305P00205000,0.01,0,0,0.01,0,20.001,-0.0003,0,1300
FriMar052021,SPY210305C00210000,178.09,0,173.3,174.06,0,28.8947,0.9915,0.0002,36,210.00,SPY210305P00210000,0.01,0,0,0.01,0,19.001,-0.0002,0,417
FriMar052021,SPY210305C00215000,175.9,0,168.3,169.06,0,27.8678,0.9912,0.0002,10,215.00,SPY210305P00215000,0.01,0,0,0.01,0,18.001,-0.0002,0,1231
FriMar052021,SPY210305C00220000,168.1,0,163.3,164.06,0,26.9226,0.9908,0.0003,48,220.00,SPY210305P00220000,0.02,0,0,0.01,0,18.001,-0.0003,0,1216
FriMar052021,SPY210305C00225000,0,0,158.3,159.06,0,25.876,0.9906,0.0003,0,225.00,SPY210305P00225000,0.01,0,0,0.01,0,16.9243,-0.0002,0,335
FriMar052021,SPY210305C00230000,0,0,153.3,154.06,0,24.9208,0.9902,0.0003,0,230.00,SPY210305P00230000,0.01,0,0,0.01,0,16.001,-0.0002,0,387
FriMar052021,SPY210305C00235000,148.03,0,148.3,149.06,0,24.023,0.9897,0.0003,6,235.00,SPY210305P00235000,0.01,0,0,0.01,0,16.001,-0.0004,0,288
FriMar052021,SPY210305C00240000,0,0,143.3,144.06,0,23.1025,0.9893,0.0003,0,240.00,SPY210305P00240000,0.02,0,0,0.01,0,14.9107,-0.0003,0,1034
FriMar052021,SPY210305C00245000,0,0,138.3,139.06,0,22.142,0.989,0.0004,0,245.00,SPY210305P00245000,0.01,0,0,0.01,0,14.001,-0.0002,0,258
FriMar052021,SPY210305C00250000,131.77,0,133.3,134.06,0,21.1087,0.989,0.0004,24,250.00,SPY210305P00250000,0.01,0,0,0.01,0,14.001,-0.0004,0,1112
FriMar052021,SPY210305C00255000,0,0,128.3,129.06,0,20.374,0.9881,0.0004,0,255.00,SPY210305P00255000,0.04,0,0,0.01,0,13.001,-0.0003,0,489
FriMar052021,SPY210305C00260000,121.78,0,123.3,124.06,0,19.3405,0.9882,0.0004,24,260.00,SPY210305P00260000,0.01,0,0,0.01,0,12.4475,-0.0003,0,759
FriMar052021,SPY210305C00265000,0,0,118.36,119.06,0,18.7077,0.9869,0.0005,0,265.00,SPY210305P00265000,0.01,0,0,0.01,0,12.001,-0.0004,0,672
FriMar052021,SPY210305C00270000,0,0,113.3,114.06,0,17.6626,0.9872,0.0005,0,270.00,SPY210305P00270000,0.01,0.005,0,0.01,11,11.501,-0.0004,0,1923
FriMar052021,SPY210305C00275000,0,0,108.31,109.05,0,16.8084,0.9868,0.0006,0,275.00,SPY210305P00275000,0.01,0,0,0.01,0,10.6067,-0.0003,0,994
FriMar052021,SPY210305C00280000,102.59,6.08,103.3,104.06,19,16.0319,0.986,0.0006,13,280.00,SPY210305P00280000,0.01,0.005,0,0.01,5,10.2227,-0.0004,0,821
FriMar052021,SPY210305C00285000,97.41,5.965,98.3,99.06,1,15.2574,0.9852,0.0007,1,285.00,SPY210305P00285000,0.01,0,0,0.01,0,10.001,-0.0006,0.0001,465
FriMar052021,SPY210305C00290000,0,0,93.36,94.05,0,14.6104,0.9838,0.0008,0,290.00,SPY210305P00290000,0.01,0.005,0,0.01,6,9.4414,-0.0006,0.0001,337
FriMar052021,SPY210305C00295000,94.75,0,88.3,89.06,0,13.6933,0.9837,0.0008,0,295.00,SPY210305P00295000,0.01,0.005,0,0.01,10,9.1143,-0.0008,0.0001,17703
FriMar052021,SPY210305C00300000,83.54,7.09,83.3,84.06,80,12.9349,0.9828,0.0009,82,300.00,SPY210305P00300000,0.01,0.005,0,0.01,5,8.001,-0.0004,0,3994
